id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1lEk3U3MzbDeL5MNHkE9JU,church,18,70,349587,0.256,0.564,11,-6.496,1,0.0366,0.00274,0.0,0.743,0.152,139.914,3
0rH0mprtecH3grD9HFM5AD,church,16,72,333386,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698,4
1mWdyqs6Zvg8b1lKjDc8yB,church,13,68,293398,0.429,0.587,9,-4.588,1,0.0275,0.315,0.0,0.108,0.164,145.003,3
3BDpn2Vivr1BFhlGsYs5tp,church,12,65,491691,0.303,0.478,7,-7.851,1,0.0352,0.371,0.0,0.131,0.117,139.795,4
40ozK0lCJ0EQzVGWsCNUhk,church,12,68,503240,0.432,0.524,4,-8.721,1,0.0321,0.0289,0.0,0.682,0.183,135.956,4
3iOpiHDobxZO7S4p9Y2Fgu,church,12,68,398333,0.347,0.508,10,-7.555,1,0.0297,0.0119,0.0,0.595,0.159,171.827,4
0jOSpB2zK2O0SNxj8ZT5lp,church,11,66,305427,0.318,0.573,1,-5.653,1,0.0324,0.107,0.0,0.0854,0.0765,156.054,4
4EHWldZTas5KUyFtT0rQlY,church,11,67,205667,0.457,0.451,10,-6.997,1,0.029,0.517,0.0,0.0928,0.185,74.923,4
40lKptao1hxVqA7fd1OOGp,church,10,65,285160,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066,4
0aZFEiDKLK2B4gzPaGCZVm,church,10,20,646239,0.361,0.423,10,-11.697,1,0.0375,0.283,6.38e-05,0.0942,0.238,114.66,4
5Mw9bXG1dLNhbjofkVS2oR,church,9,70,535963,0.262,0.361,2,-10.187,1,0.0333,0.508,0.00268,0.108,0.056,126.786,4
0fxpHpK3aw2nFWII6yveDD,church,9,69,342493,0.431,0.485,7,-8.085,1,0.0274,0.452,0.0,0.544,0.367,145.22,4
0lVYRIVjK77Z6uG2GgM8Kl,church,9,3,248253,0.407,0.612,4,-5.359,1,0.0496,0.0909,0.0,0.0914,0.133,159.527,4
0bHcGi6iafYk4TUrqvDYya,church,9,16,732554,0.342,0.18,4,-14.847,1,0.0364,0.872,4.29e-06,0.145,0.211,123.979,4
0YxrPdW9NpNFtqh7Fw0rva,church,9,66,470880,0.452,0.866,1,-4.431,1,0.04,0.0041,0.0,0.134,0.291,81.972,4
1wuqCUWHniGdEmOKZbQ1cg,church,9,63,405914,0.124,0.437,2,-8.21,1,0.0409,0.0128,0.0,0.12,0.103,80.889,5
2BuhGnXpqMQ8BvOUZpmaVl,church,8,61,568787,0.381,0.505,7,-6.478,1,0.0278,0.293,4.27e-06,0.72,0.0869,140.995,4
1xI9KSGNJB2eka8FMvovvi,church,8,61,242227,0.469,0.566,7,-6.966,1,0.0357,0.34,0.0,0.203,0.292,73.047,4
3gtqd9P8kZblHf4I7Ybub2,church,8,66,363231,0.345,0.747,10,-6.92,1,0.053,0.00214,0.0,0.0928,0.215,154.739,4
1GtmiINnAu5K2VEqyh1Xdc,church,8,61,467053,0.403,0.557,1,-6.018,1,0.0314,0.00858,0.0,0.72,0.203,73.998,4
1yYUIjT3bZ9RB9vejqYy9f,church,7,60,341080,0.396,0.521,2,-7.093,1,0.0312,0.0101,0.0,0.884,0.126,135.742,4
5C64H6dEsQ15bS9gp0D3Xr,church,7,0,279787,0.512,0.814,10,-5.467,1,0.0327,0.0042,0.0,0.0991,0.273,97.997,4
4KLj9QjEhJl2WU50mxRF9Z,church,7,67,238200,0.424,0.506,2,-5.877,1,0.0284,0.201,0.0,0.11,0.138,135.902,4
4PYOh644yKjYyvyVUHqcof,church,7,62,290413,0.39,0.457,9,-7.915,1,0.0327,0.0874,8.9e-06,0.123,0.145,143.977,3
6TbG237Ir0ublbxXq2T3Yp,church,7,58,581177,0.228,0.297,6,-12.664,1,0.0358,0.646,1.53e-06,0.123,0.0903,135.028,1
1sF4VadVaVTvp9WTEy79JT,church,7,67,234731,0.43,0.708,0,-7.14,1,0.0336,0.0561,0.0,0.704,0.243,75.024,4
4wc8FpW9XCUaoxtii3CiCf,church,7,63,452499,0.254,0.753,11,-6.669,1,0.0544,0.0047,0.0,0.931,0.133,139.804,3
4908mwb34dqgcaxHeFjitw,church,7,9,211600,0.437,0.647,9,-5.371,1,0.0371,0.0178,0.0,0.106,0.218,176.032,4
6r0WuK50Lpu9u460x84oBn,church,7,61,515387,0.36,0.608,1,-7.811,1,0.0309,0.065,0.0,0.43,0.21,144.004,4
35GACeX8Zl55jp29xFbvvo,church,7,64,309093,0.329,0.682,0,-6.374,1,0.0526,0.221,0.0,0.19,0.162,148.029,4
2MnLkFqY9Rpg9s3Zv6ZJdK,church,7,85,197333,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891,4
5t0izTLPeWYLiIfHPJbORJ,church,7,2,385053,0.282,0.251,4,-10.648,0,0.0315,0.699,1.47e-05,0.11,0.11,129.826,4
2lIB1TU0Cqnc6RuYDjc92z,church,7,63,423193,0.367,0.463,11,-7.638,1,0.0335,0.121,1.04e-05,0.0983,0.187,139.996,4
4asTccqkv3G7KSKdy7QGED,church,7,50,241933,0.69,0.482,7,-8.246,1,0.0273,0.405,0.0,0.152,0.386,122.898,4
5W9Al2ewPfzbWHOV2BAtBR,church,6,63,267067,0.471,0.164,7,-10.879,1,0.0324,0.833,0.0,0.101,0.17,125.242,4
6aRwLqDf1bN3lI2gMd6wXp,church,6,60,339493,0.378,0.596,5,-5.406,1,0.0323,0.0182,1.14e-05,0.144,0.172,135.968,3
1Hv54MWloXiAZDam1ez840,church,6,58,296343,0.472,0.351,9,-8.996,1,0.0326,0.589,0.0,0.0821,0.0611,144.01,3
5VUQsLff8A3ruAyCdTxqzg,church,6,67,335907,0.545,0.472,11,-7.552,1,0.0279,0.434,0.0,0.0684,0.193,134.027,4
2FJYXPlTmFPAjTwPS1bMnw,church,6,61,306253,0.367,0.739,11,-7.987,1,0.0411,0.103,0.0,0.0912,0.328,175.877,4
6Up545NUflOiXo8cEraH49,church,6,78,274693,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,4
4ElNxglBjcrASiGn58t9Jm,church,6,67,229760,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,4
0KNvJzxdbslBddN27BEhfm,church,6,67,217680,0.51,0.644,6,-5.567,1,0.0341,0.0821,0.0,0.191,0.293,76.001,4
6fdglWE2qycjtz0JlW94HW,church,6,63,432053,0.453,0.758,8,-7.681,1,0.0541,0.03,2.03e-06,0.181,0.184,75.918,4
4LnHfZGEitmIVS17wndaUI,church,6,63,244040,0.42,0.823,1,-4.889,1,0.0434,0.00985,0.0,0.103,0.517,163.997,4
2UeOsbOZ3h1QxUX2Jfw42j,church,6,66,244893,0.431,0.591,8,-6.198,1,0.0298,0.112,0.0,0.129,0.274,144.012,4
0UXlu64mDLvfzR8IXMz06J,church,6,88,185723,0.588,0.452,7,-4.75,1,0.0268,0.437,0.0,0.344,0.734,139.953,4
1xO7tp4J5Wj0NeKrzIpd1V,church,6,84,198529,0.704,0.482,9,-5.352,1,0.0349,0.211,0.0,0.3,0.604,102.01,4
1ed3wNCecRIp6SugyR0w2J,church,6,65,411000,0.431,0.416,9,-10.376,1,0.0296,0.0462,2.01e-06,0.144,0.177,127.964,4
6JV2JOEocMgcZxYSZelKcc,church,6,80,236002,0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03,4
